QueryType,QueryText,KccAns
Sowing Time and Weather,Information regarding sowing time of ryegrass,Sowing time of oats from second week of october to last week of october.
Weed Management,Information regarding the control of weeds from the vacant field before sowing of wheat ,For control of weeds in vacant field before sowing of wheat spray 500 ml gramoxone 24 sl(paraquat) in 200 litres of water per acre.
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,For control of weeds in vacant field before sowing of wheat spray 500 ml gramoxone 24 sl(paraquat) in 200 litres of water per acre.
Plant Protection,Information regarding control of fruit drop in kinnow,Control of fruit drop in kinnow spray 1ml planofix in 4.5lt of water.
Seeds and Planting Material,Information regarding spacing in pea crop,Spacing in pea crop is 30*7.5cm for early and 30*10cm for main season crop.
Government Schemes,Information regarding about third installment of pmksny ,Information regarding about last installment of pmksny contact to your nodal officer
Field Preparation,Information regarding the control of sheath blight in paddy crop,For control of sheath blight in paddy spray 200 ml tilt/bumper (propiconazole 25 ec) or 200 ml amistar top 325 sc (azoxystrobin+difenoconazole) or 80 gram nativo 75 wg (tebuconazole+trifloxystrobin) or 200 ml folicur/orius 25.9 ec (tebuconazole) or 320 ml lusture (flusilazole+carbendazim) or 200 ml monceren 250 sc (pencycuron) or 200 gram bavistin 50 wp (carbendazim) in 200 litres of water per acre.
Fertilizer Use and Availability,Information regarding manures and fertilizers used in pea crop,"Apply 8 tonnes fym ,45kg urea and 155kg single superphosphate in pea crop."
Sowing Time and Weather,Information regarding sowing time of gobhi sarson,Sowing time of gobhi sarson is 10th October to 30th October.
Cultural Practices,Information regarding spacing of rapeseed-mustard,Spacing of rapeseed-mustard row to row spacing 45cm and 4-5cm deep or plant to plant distance 10 to 15cm.
Cultural Practices,Information regarding seed rate of barseem,Seed rate of barseem is 8-10kg per acre.
Varieties,Information regarding new variety of wheat ,"The new variety of wheat is hd 3226, it suitable for sowing in 25 october to 30 november., its yield is 22-28 quintal per acre and height is 110-115 cm.this variety is not recommended,this variety is not recommended."
Varieties,Information regarding the detail about the timely sowing varieties of wheat,"The new variety of wheat is hd 3226, it suitable for sowing in 25 october to 30 november., its yield is 22-28 quintal per acre and height is 110-115 cm.this variety is not recommended,this variety is not recommended."
Plant Protection,Information regarding control of grain discoloration in rice ,Spray tilt (propiconazol)@200 ml dissolve in 200 litre water per acre.
Market Information,Information regarding the contact no. of punjab mandi board ,The contact no. of punjab mandi board is 0172-2210125.
Nutrient Management,Information regarding manures and fertilizers apply in palak,"Manures and fertilizers apply in palak 10 tonnes of fym,75 kg urea and 75 kg ssp per acre.apply whole fym,ssp and half urea at the time of sowing and half urea after first cut."
Fertilizer Use and Availability,Information regarding application of biozyme in potato,Apply 8 kg granule per acre at the time of planting and earthing up and spray of biozyme liquid formulation at tuber initiation stage @200ml/acre increases the yield of potato.
Plant Protection,Information regarding manures and fertilizers used in potato crop,"Manures and fertilizers used in potato crop apply 20tonnes of fym,165kg urea,155kg ssp and 40kg potash."
Seeds and Planting Material,Information regarding contact no. of punjab agricultural university ludhiana ,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Plant Protection,Information regarding control of stem borer and leaf folder in paddy and basmati,"For control of stem borer or leaf folder in paddy and basmati, spray 1 litre chlorpyriphos 20 ec, 20 ml fame(flubendiamide 480 sc) or 170 gram mortar(cartap hydrochloride 75 sg) in 100 litres of water per acre."
Plant Protection,Query about control of insect pest in cucurbits in kitchen garden,Spray 10 mi nimbecidine per litres of water to control of sucking pest in bottle gourd or kitchen garden.
Seeds and Planting Material,Information regarding control of black scurf in potato ,"To control black scurf treat the tubers with monceren(pencycuron 250 sc (22.9% w/w))@ 2.5 ml per litre of water for 10 minutes after taking out of the cold storage.do not sow potato after taking out from store ,keep it in shade for 8-10 day let it be dry."
Seeds,Information regarding seed rate of wheat,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Sowing Time and Weather,Information regarding the sowing time of wheat in rainfed condition ,The sowing time of wheat under rainfed conditions is last week of october to first week of november.
Cultural Practices,Information regarding weed control in potato crop,"Weed control in potato crop at pre-emergence stage spray 1lt stomp 30ec, isoproturon 70wp 500g,atrazine 200g,metribuzin 70wp,alachlor+atrazine(1lt + 100g) in 200lt water per acre."
Plant Protection,Information regarding control of army worm in maize ,To control of army worm spray 30-40 ml corazen and decis 80 ml in 60 litre of water in one acre
Government Schemes,Information regarding the contact no. of pau ludhiana,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Training and Exposure Visits,Information regarding contact no. of kvk patiala ,"Contact no. of kvk patiala dr. jaswinder singh is 0175-2225473, 94173-60460."
Sowing Time and Weather,Information regarding sowing time of gobhi sarson,Sowing time of gobhi sarson is 10 october to 30 october.
Sowing Time and Weather,Information regarding sowing time of raya and african sarson,Sowing time of gobhi sarson is 10 october to 30 october.
Plant Protection,Information regarding bacterial leaf blight in paddy,Spray copper oxychloride 200 gram+25 gram agrimycin in 200 litre of water per acre.
Cultural Practices,Information regarding new variety of wheat ,"The new variety of wheat is hd 3226, it suitable for sowing in 25 october to 30 november., its yield is 22-28 quintal per acre and height is 110-115 cm.this variety is not recommended,this variety is not recommended."
Cultural Practices,Information regrading sowing time of wheat,"The new variety of wheat is hd 3226, it suitable for sowing in 25 october to 30 november., its yield is 22-28 quintal per acre and height is 110-115 cm.this variety is not recommended,this variety is not recommended."
Cultural Practices,Information regarding sowing time of pea,Mix the one packet of bio-fertilizer in half litre water then mix it with seed of one acre.after that leave it for dry in shade and sow the seed immediately.
Cultural Practices,Information regarding improved varieties of pea in main season,Mix the one packet of bio-fertilizer in half litre water then mix it with seed of one acre.after that leave it for dry in shade and sow the seed immediately.
Bio-Pesticides and Bio-Fertilizers,Information regarding seed treatment of pea crop,Mix the one packet of bio-fertilizer in half litre water then mix it with seed of one acre.after that leave it for dry in shade and sow the seed immediately.
Bio-Pesticides and Bio-Fertilizers,"Information regarding for control of wilt, root rot and collar rot in pea",Mix the one packet of bio-fertilizer in half litre water then mix it with seed of one acre.after that leave it for dry in shade and sow the seed immediately.
Water Management,Information regarding water management in paddy ,Mix the one packet of bio-fertilizer in half litre water then mix it with seed of one acre.after that leave it for dry in shade and sow the seed immediately.
Plant Protection,Information regarding control of false smut in paddy ,Mix the one packet of bio-fertilizer in half litre water then mix it with seed of one acre.after that leave it for dry in shade and sow the seed immediately.
Cultural Practices,Information regrading sowing time of wheat,Drill half(55kg) dose of nitrogen and whole(55kg) dap and potash(20kg) at the time of sowing and remaining (55kg) nitrogen at 1st irrigation.
Cultural Practices,Information regarding method of fertilizer application in wheat ,Drill half(55kg) dose of nitrogen and whole(55kg) dap and potash(20kg) at the time of sowing and remaining (55kg) nitrogen at 1st irrigation.
Fertilizer Use and Availability,Information regarding sowing time of ap 3 pea variety ,The optimum time of sowing of ap 3 si from seconde week of october
Fertilizer Use and Availability,Information regarding sowing time of chappan kadoo,Sowing time of chappan kadoo is october to november(under protection).
Fertilizer Use and Availability,Information regarding sowing time of bottle gourd(ghia kaddu),Sowing time of chappan kadoo is october to november(under protection).
Cultural Practices,Information regarding control of grasshopper and aphid in paddy ,"For control of grasshopper and aphid in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding composition of waste decomposer,"Composition of waste decomposer 1 bottle waste decomposer, 2 kg jaggery dissolve in 200 litre of water."
Water Management,Information regarding the irrigation schedule in paddy,Apply irrigation to the paddy crop according to the requirement no need of regular standing of water in the crop apply water to the crop after 2 of water absorbing by the field and stop irrigation to the crop before 15 days of harvesting.
Water Management,Information regarding water management in paddy ,In paddy last irrigation to be applied is 15 days before harvesting
Training and Exposure Visits,Information regarding contact no. of chief agricultural officer of patiala,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Training and Exposure Visits,Information regarding contact no. of patiala kvk,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal, height-100 cms and time-155 days),unnat pbw 550 (yield-23 quintal, height-86 cms and time-145 days), pbw 1 zinc (yield-22.5 quintal, height-103 cms and time-151 days), pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), pbw 677(yield-22.4 quintal, height-107 cms and time-157 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days), pbw 621(yield-21.1 quintal, height-100 cms and time-158 days) and pbw 550(yield-20.8 quintal, height-86 cms and time-146 days)."
Nutrient Management,Information regarding manures and fertilizers used in carrot crop,"Manures and fertilizers used in carrot crop apply 15 tonnes fym,55 kg urea,75 kg ssp and 50kg of mop."
Cultural Practices,Information regarding type of soil for carrot crop,"Manures and fertilizers used in carrot crop apply 15 tonnes fym,55 kg urea,75 kg ssp and 50kg of mop."
Seeds and Planting Material,Information regarding improved varieties of carrot,"Manures and fertilizers used in carrot crop apply 15 tonnes fym,55 kg urea,75 kg ssp and 50kg of mop."
Seeds,Information regarding contact no. of chief agricultural officer of patiala,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Cultural Practices,Information regarding seed rate of carrot,Seed rate of carrot crop is 4 to 5kg per acre.
Plant Protection,Information regarding the control of stem borer and leaf folder in paddy ,In paddy last irrigation to be applied is 15 days before harvesting
Varieties,Information regarding the sowing time of timely sowing varieties of wheat ,The sowing time of timely sowing varieties of wheat-the sowing time of timely sowing time of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Varieties,Information regarding the detail about the timely sowing varieties of wheat,The sowing time of timely sowing varieties of wheat-the sowing time of timely sowing time of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Plant Protection,Information regarding control of aphid and other sucking pest in cucumber,To control the sucking pest in cucumber spray 250 ml malathion 50 ec or 200 ml rogor 30 ec (dimethoate) in 100 litre of water per acre. repeat the spray after 10 days.
Plant Protection,Information regarding application of pesticide near harvesting time,For control of sheath blight in basmati spray 200 ml amistar top 325 sc (azoxystrobin(22.9 w/w)+difenoconazole) or 80 gram nativo 75 wg (tebuconazole+trifloxystrobin) or 200 ml folicur/orius 25 ec (tebuconazole) or 200 ml monceren 250 sc (pencycuron) in 200 litres of water per acre.
Seeds,Information regarding seed treatment in wheat for loose smut and flag smut ,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Weed Management,Information regarding control of weeds in post- emergence (before 1st irrigation) stage in wheat ,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Fertilizer Use and Availability,Information regarding method of fertilizer application in wheat ,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Seeds,"Information regarding contact number of punjab agriculture university,ludhiana","Contact number of punjab agriculture university,ludhiana:- 0161-2401960."
Seeds,Information regarding seed availability of barley,"Contact number of punjab agriculture university,ludhiana:- 0161-2401960."
Varieties,Information regarding improved varieties of barley ,"Contact number of punjab agriculture university,ludhiana:- 0161-2401960."
Cultural Practices,Information regarding improved variety of summer squash(chappan kadoo),Improved variety of summer squash(chappan kadoo) is punjab chappan kadoo-1.
Plant Protection,Information regarding control of blast or brown leaf spot in paddy crop,"To control of blast or brown leaf spot in paddy , spray 80 g nativo 75 wg (trifloxystrobin + tebuconazole) or 200 ml amistar top 325 sc (azoxystrobin+difenoconazole) in 200 litres of water per acre ."
Plant Protection,Information regarding control of bacterial leaf blight in paddy,"To control of blast or brown leaf spot in paddy , spray 80 g nativo 75 wg (trifloxystrobin + tebuconazole) or 200 ml amistar top 325 sc (azoxystrobin+difenoconazole) in 200 litres of water per acre ."
Nutrient Management,Information regarding total fertilizer dose used in barseem,"Total fertilizer dose used in barseem is 22kg urea, 185kg superphosphate per acre."
Varieties,Information regarding improved varieties of barseem,"Total fertilizer dose used in barseem is 22kg urea, 185kg superphosphate per acre."
Training and Exposure Visits,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Soil Testing,Information regarding availability of soil and water testing lab,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Market Information,Information regarding contact no. of punjab agricultural university ludhiana ,Control of sucking pests in barseem spray 500ml malathion 50ec or 200 ml rogor in 80-100lt water per acre.
Plant Protection,Information regarding control of sucking pests in barseem,Control of sucking pests in barseem spray 500ml malathion 50ec or 200 ml rogor in 80-100lt water per acre.
Sowing Time and Weather,Information regarding the sowing time of timely sowing varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal, height-100 cms and time-155 days),unnat pbw 550 (yield-23 quintal, height-86 cms and time-145 days), pbw 1 zinc (yield-22.5 quintal, height-103 cms and time-151 days), pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), pbw 677(yield-22.4 quintal, height-107 cms and time-157 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days), pbw 621(yield-21.1 quintal, height-100 cms and time-158 days) and pbw 550(yield-20.8 quintal, height-86 cms and time-146 days)."
Cultural Practices,Information regarding application of pesticide near harvesting time,No need to apply pesticide when harvesting is going to be in 15 days.
Seeds and Planting Material,Information regarding improved varieties of pea in main season,"Improved early maturing varieties of pea in main season are punjab 89,mithi phali."
Cultural Practices,Information regarding for sowing time of barseem ,Sowing time of barseem from last week of september to first week of october.
Plant Protection,Information regarding the minimum days required for fungicide ,Minimum 5-6 days are required after fungicide application to kill .
Sowing Time and Weather,Information regarding the sowing time of timely sowing varieties of wheat ,The sowing time of timely sowing varieties of wheat-the sowing time of timely sowing time of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Plant Protection,Information regarding control of grasshopper and hoppers in paddy ,"For control of grasshopper and aphid in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding control of grasshopper and hoppers in paddy ,"For control of grasshopper and hoppers in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding the control of sheath blight in basmati crop,"For control of grasshopper in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding control of grasshopper and hoppers in paddy and basmati,"For control of grasshopper and hoppers in paddy and basmati , spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Sowing Time and Weather,Information regarding sowing time of wheat,The sowing time of timely sowing varieties of wheat-the sowing time of timely sowing time of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Seeds,Information regarding the seed rate of wheat,The sowing time of timely sowing varieties of wheat-the sowing time of timely sowing time of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Varieties,Information regarding new variety of wheat ,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Seeds,Information regarding the contact no. of animal husbandry department of patiala,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Seeds,Information regarding contact no. of kvk patiala ,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Plant Protection,Information regarding weed control in garlic,Weed control in garlic spray stomp 30ec 1lt per acre within a day and goal 23.5ec @ 425ml per acre within 7days after transplanting in 200lt water.
Weed Management,Information regarding control of weeds in pre- emergence stage in wheat ,For control of weeds in wheat spray stomp 30ec (pendimethalin) @ 1 litre with in 2days of sowing in 200lt water per acre.
Plant Protection,Information regarding contact no. of kvk patiala ,"Contact no. of kvk patiala dr. jaswinder singh is 0175-2225473, 94173-60460."
Plant Protection,Information regarding control of rice ear cutting catterpiller in paddy ,"For control of rice ear cutting caterpillar in paddy, spray 600-800 ml ekalux 25 ec (quinalphos) in 100 litres of water per acre"
Market Information,Information regarding contact no. of patiala kvk,"For control of rice ear cutting caterpillar in paddy, spray 600-800 ml ekalux 25 ec (quinalphos) in 100 litres of water per acre"
Plant Protection,Information regarding control of stem borer in paddy,The contact no. of patiala kvk is 0175-2225473.
Plant Protection,Information regarding control shoot borer in sugarcane,"For control of shoot borer in sugarcane is broadcaste 10kg regent 0.3(fipronil) or padan 4g(cartap hydrochloride) mixed in 20kg sand and spray 45ml imidacloprid 17.8sl or 2lt chlorpyriphos 20ec or 150 ml coragen in 400lt water per acre.use tricho-cards having 20,000 eggs of corcyra cephalonica parasitized (seven days old) by trichogramma chilonis per acre at 10 days interval from mid-april to end-june."
Cultural Practices,Information regarding improved varieties of gobhi sarson,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Cultural Practices,Information regarding sowing time of gobhi sarson,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Cultural Practices,Information regarding early sown varieties of potato,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Cultural Practices,Information regarding varieties of kharif maize ,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Cultural Practices,Information regarding sowing time of cotton ,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Cultural Practices,Information regarding sowing time of paddy,"Improved varieties of gobhi sarson are gsc 7, gsc 6, hyola pac 401, gsl 2, gsl 1."
Plant Protection,"Information regarding for control of wilt, root rot and collar rot in pea","For control of wilt, root rot and collar rot in pea, treat seed with bavistin 1gm or captan 2gm or pseudomonas fluorescens 15 gram per kg seed."
Plant Protection,Information regarding improved early maturing varieties of pea,"For control of wilt, root rot and collar rot in pea, treat seed with bavistin 1gm or captan 2gm or pseudomonas fluorescens 15 gram per kg seed."
Cultural Practices,Information regarding improved varieties of pea in main season,"For control of wilt, root rot and collar rot in pea, treat seed with bavistin 1gm or captan 2gm or pseudomonas fluorescens 15 gram per kg seed."
Water Management,Information regarding water management in paddy ,"Total fertilizer dose used in barseem is 22kg urea, 185kg superphosphate per acre."
Varieties,Information regarding yield of pusa basmati 1718,17 quintal per acre is yield of pusa basmati 1718 variety.it takes 144 days to mature.
Soil Testing,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Seeds,Information regarding seed rate of rapeseed-mustard,Seed rate of rapeseed-mustard is 1.5kg per acre.
Nutrient Management,Information regarding total fertilizer application in rapeseed-raya and gobhi sarson,Seed rate of rapeseed-mustard is 1.5kg per acre.
Plant Protection,Information regarding control of foot rot/gummosis in citrus,Drench 50 ml sodium hypo chloride 5% mixed with 10 litre of water per plant to cure root rot.
Plant Protection,Information regarding bordeaux paste ,Drench 50 ml sodium hypo chloride 5% mixed with 10 litre of water per plant to cure root rot.
Bio-Pesticides and Bio-Fertilizers,Information regarding better flower in brinjal,Sapery on n.p.k 13:0:45 1kg in 100ltr of water in 1acre
Plant Protection,Information regarding caterpillar in maize ,Spray 500 ml ekalux 100 litre of water in one acre.
Varieties,Information regarding improved varieties of barseem,Information regarding control of foot rot gummosis in citrus?
Fertilizer Use and Availability,Information regarding total fertilizer dose used in barseem,"For control of grasshopper and hoppers in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Nutrient Management,Information regarding seed rate in brinjal,Seed rate in brinjal is 300-400g per acre.
Varieties,Information regarding improved varieties of barseem,Seed rate in brinjal is 300-400g per acre.
Plant Protection,Information regarding control of neck blast in basmati crop,No need to apply pesticide when harvesting is going to be in 15 days.
Plant Protection,Information regarding control of maize borer ,"Sowing time of wheat- from last week of october to last week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Market Information,Information regarding control of squirrel in kitchen gardening ,To know about control of squirrel in kitchen gardening contact dr.nina singla-93573-25446.
Plant Protection,Information regarding control of wilt and root rot in pea,Treat the seed with 15 gm talc based formulation of pseudomonas fluorescens per kg seed before sowing.
Bio-Pesticides and Bio-Fertilizers,Information regarding seed treatment of pea crop,Treat the seed with 15 gm talc based formulation of pseudomonas fluorescens per kg seed before sowing.
Cultural Practices,Information regarding sowing time of pea,Treat the seed with 15 gm talc based formulation of pseudomonas fluorescens per kg seed before sowing.
Seeds and Planting Material,Information regarding seed rate in pea,Treat the seed with 15 gm talc based formulation of pseudomonas fluorescens per kg seed before sowing.
Cultural Practices,Information regarding sowing time of pea,"Apply 8tonnes fym ,45kg urea and 155kg single superphosphate in pea crop."
Cultural Practices,Information regarding improved early maturing varieties of pea,"Apply 8tonnes fym ,45kg urea and 155kg single superphosphate in pea crop."
Cultural Practices,Information regarding manures and fertilizers used in potato crop,"Manures and fertilizers used in potato crop apply 20tonnes of fym,165kg urea,155kg ssp and 40kg potash."
Cultural Practices,Information regarding control of weeds in pre- emergence stage in wheat ,"Manures and fertilizers used in potato crop apply 20tonnes of fym,165kg urea,155kg ssp and 40kg potash."
Cultural Practices,Information regrading sowing time of wheat,"Manures and fertilizers used in potato crop apply 20tonnes of fym,165kg urea,155kg ssp and 40kg potash."
Seeds,Information regarding seed rate of barseem,Seed rate of ryegrass is 4kg per acre.
Seeds,Information regarding sowing time of ryegrass,Seed rate of ryegrass is 4kg per acre.
Seeds,Information regarding seed rate of ryegrass,Seed rate of ryegrass is 4kg per acre.
Sowing Time and Weather,Information regarding sowing time of ryegrass,Seed rate of ryegrass is 4kg per acre.
Fertilizer Use and Availability,Information regarding the recommended dose of fertilizers for wheat ,For better yield of the paddy spray 1 kg npk (0:52:34) mono potassium phosphate in 100 litres of water per acre at boot stage.
Fertilizer Use and Availability,Information regarding the recommended dose of fertilizers for wheat ,"Fertilizers for wheat crop-apply 110 kg urea, 55 kg dap or 155 kg super phosphate, 40 kg murate of potash (in gurdaspur, hoshiarpur ropar and shaheed bhagat singh nagar districts) or 20 kg murate of potash in other areas of punjab based on the soil testing report."
"Power, Roads etc.",Information regarding the contact no. of pau ludhiana,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
"Power, Roads etc.",Information regarding the contact no. of gadvasu ludhiana,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Sowing Time and Weather,Information regrading sowing time of wheat,"The new variety of wheat is pbw 752, it suitable for sowing in december month its yield is 19.2 quintal per acre and it matures in about 130 days."
Sowing Time and Weather,Information regarding sowing time of wheat,"The new variety of wheat is pbw 752, it suitable for sowing in december month its yield is 19.2 quintal per acre and it matures in about 130 days."
Plant Protection,Information regarding the spray for control of fungal disease in paddy before 10 days of harvesting ,If the paddy crop is ready to harvest in next 10 days then there is no need of any fungicide spray on the paddy crop.
Plant Protection,Information regarding use of pesticides before harvesting,No need to apply pesticide when harvesting is going to be in 15 days.
Plant Protection,Information regarding control of grasshopper and hoppers in paddy ,No need to apply pesticide when harvesting is going to be in 15 days.
Cultural Practices,Information regarding the recommended dose of fertilizers for wheat ,"Fertilizers for wheat crop-apply 110 kg urea, 55 kg dap or 155 kg super phosphate, 40 kg murate of potash (in gurdaspur, hoshiarpur ropar and shaheed bhagat singh nagar districts) or 20 kg murate of potash in other areas of punjab based on the soil testing report."
Cultural Practices,Information regarding improved pea variety punjab-89,Punjab 89 variety of pea takes 90 days for first picking and yield of this variety is 60 quintal per acre.
Plant Protection,Information regarding contact no. of patiala kvk,No need to apply pesticide when harvesting is going to be in 15 days.
Cultural Practices,Information regarding use of pesticides before harvesting,No need to apply pesticide when harvesting is going to be in 15 days.
Cultural Practices,Information regarding the contact number of district development manager of patiala ,The contact number of ddm jps ahuja of patiala is 01752210123 or 9779926095
Plant Protection,Information regarding use of pesticides before harvesting,"For control of rice ear cutting caterpillar in paddy, spray 600-800 ml ekalux 25 ec (quinalphos) in 100 litres of water per acre"
Sowing Time and Weather,Information regrading sowing time of wheat,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal, height-100 cms and time-155 days),unnat pbw 550 (yield-23 quintal, height-86 cms and time-145 days), pbw 1 zinc (yield-22.5 quintal, height-103 cms and time-151 days), pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), pbw 677(yield-22.4 quintal, height-107 cms and time-157 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days), pbw 621(yield-21.1 quintal, height-100 cms and time-158 days) and pbw 550(yield-20.8 quintal, height-86 cms and time-146 days)."
Market Information,Information regarding the contact no. of punjab mandi board ,The contact no. of punjab mandi board is 1800-270-0224. or 0172-2210125.
Nutrient Management,Information regarding control of aphid and other sucking pest in cucurbits,To control the sucking pest in cucurbits spray 200 malathion 50 ec or rogor in 100 lt water per acre. repeat the spray after 10 days.
Plant Protection,Information regarding yellowing of leaves of paddy nursery,Take proper survey to ensure the disease or nutrient deficiency or visit the near agriculture office.
Seeds and Planting Material,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460."
Seeds and Planting Material,Information regarding improved pea variety punjab-89,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460."
Plant Protection,Information regarding contact no. of horticulture expert,To know about fruit setting of kinnow contact dr. jaswinder singh-99158-33793
Cultural Practices,Information regarding the seed treatment of wheat for protection from loose smut and flag smut,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Market Information,Query about pradhan mantri kisan samman nidhi yojana,Contact your nodal officer for update aadhar card details or log on to https://www.pmkisan.gov.in/
Plant Protection,Information regarding control of grasshopper in paddy ,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Plant Protection,Information regarding control of neck blast in paddy ,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Training and Exposure Visits,Information regarding contact no. of punjab agricultural university ludhiana ,The contact no. of patiala kvk is 0175-2225473.
Plant Protection,Information regarding bordeaux paste ,Use copper sulphate 2 kg + quick lime 3 kg in 15 litres of water(2:3:15) to prepare bordeaux paste.
